,Ixx,Ixy,Iyy,Ixr,Ixg,Ixb,Iyr,Iyg,Iyb,Irr,Irg,Irb,Igg,Igb,Ibb,Target
38,61009,29763.5,14520.25,5928,10868,3952,2892,5302,1928,64,32,128,144,192,0,0
39,62500,2000,64,4500,9750,2000,144,312,64,68,190,144,241,56,64,0
40,59536,2684,121,9272,15128,6832,418,682,308,164,52,40,4,200,16,0
41,59049,30982.5,16256.25,9477,15309,7047,4972.5,8032.5,3697.5,241,153,107,129,35,73,0
42,59049,29524.5,14762.25,8505,14823,5832,4252.5,7411.5,2916,201,87,72,137,184,64,0
43,62500,29125,13572.25,6000,12500,3250,2796,5825,1514.5,64,176,56,196,138,169,0
44,9,363,14641,33,117,3,1331,4719,121,121,173,11,241,39,1,0
45,36,21,12.25,54,222,0,31.5,129.5,0,81,77,0,89,0,0,0
46,16,38,90.25,72,184,24,171,437,57,68,60,108,68,20,36,0
47,0,0,14641,0,0,0,3388,6776,1936,16,32,192,64,128,0,0
48,576,2832,13924,144,720,0,708,3540,0,36,180,0,132,0,0,0
49,169,52,16,130,442,26,40,136,8,100,84,20,132,68,4,0
50,4,6,9,28,76,12,42,114,18,196,20,84,164,228,36,0
51,65025,255,1,4335,10455,1785,17,41,7,33,185,119,145,31,49,0
52,9,0,0,57,120,21,0,0,0,105,248,133,64,24,49,0
53,49,7,1,133,280,49,19,40,7,105,248,133,64,24,49,0
54,16,4,1,84,164,24,21,41,6,185,93,126,145,246,36,0
55,1,7.5,56.25,21,41,6,157.5,307.5,45,185,93,126,145,246,36,0
56,60516,31242,16129,9348,13530,5166,4826,6985,2667,164,42,30,209,131,185,0
57,0,0,14161,0,0,0,2618,4641,357,228,90,66,241,117,9,0
58,9,16.5,30.25,63,111,3,115.5,203.5,5.5,185,9,21,89,37,1,0
59,1,6.5,42.25,33,49,13,214.5,318.5,84.5,65,81,173,97,125,169,0
60,62001,31125,15625,8964,12450,3486,4500,6250,1750,16,8,248,196,188,196,0
61,61009,370.5,2.25,7163,10621,1729,43.5,64.5,10.5,73,223,203,57,45,49,0
62,62001,3735,225,9711,13197,4233,585,795,255,241,19,151,249,133,33,0
63,63504,29358,13572.25,14868,18396,9324,6873.5,8504.5,4310.5,153,211,135,209,141,89,0
64,529,241.5,110.25,506,575,0,231,262.5,0,228,38,0,113,0,0,0
65,54756,7605,1056.25,19890,21060,14040,2762.5,2925,1950,57,226,236,164,24,16,0
66,58564,25894,11449,20570,22264,14278,9095,9844,6313,57,140,151,16,52,153,0
67,1156,3655,11556.25,1394,1734,476,4407.5,5482.5,1505,145,43,62,41,202,196,0
68,1024,256,64,1248,1792,384,312,448,96,241,136,212,64,160,144,0
69,0,0,49,0,0,0,350,504,161,196,16,126,64,120,17,0
70,58081,482,4,10845,17834,4820,90,148,40,233,2,132,100,200,144,0
71,59536,30866,16002.25,11224,19764,5612,5819,10246.5,2909.5,68,142,34,161,71,17,0
72,58081,30366,15876,8194,18316,3133,4284,9576,1638,132,24,186,144,220,169,0
73,60025,31115,16129,8085,20090,4165,4191,10414,2159,65,146,49,68,114,33,0
74,65025,30855,14641,6375,19635,3315,3025,9317,1573,113,133,69,41,233,169,0
75,64,1004,15750.25,88,560,48,1380.5,8785,753,121,2,66,36,164,36,0
76,16,32,64,52,300,48,104,600,96,169,207,156,249,132,144,0
77,62500,1500,36,6000,22000,6750,144,528,162,64,64,136,64,72,217,0
78,62001,30378,14884,5229,22161,6972,2562,10858,3416,185,77,76,241,188,16,0
79,1,121.5,14762.25,9,77,16,1093.5,9355.5,1944,81,181,144,41,208,0,0
80,64009,1391.5,30.25,3289,18722,1771,71.5,407,38.5,169,194,91,100,6,49,0
81,62001,1992,64,5976,21663,4233,192,696,136,64,40,152,145,199,33,0
82,60025,30992.5,16002.25,6615,22785,4655,3415.5,11764.5,2403.5,217,207,1,201,231,105,0
83,60025,29767.5,14762.25,4655,21315,2450,2308.5,10570.5,1215,105,117,190,145,102,100,0
84,63001,31500.5,15750.25,2510,20582,0,1255,10291,0,100,52,0,68,0,0,0
85,0,0,2.25,0,0,0,15,126,0,100,72,0,144,0,0,0
86,9,0,0,36,258,0,0,0,0,144,8,0,228,0,0,0
87,16,2,0.25,40,336,0,5,42,0,100,72,0,144,0,0,0
88,0,0,2.25,0,0,0,24,129,0,0,96,0,228,0,0,0
89,0,0,16256.25,0,0,0,2422.5,10710,255,105,60,38,144,168,4,0
90,0,0,16256.25,0,0,0,2932.5,10327.5,637.5,17,71,115,161,149,25,0
91,0,0,0,0,0,0,0,0,0,217,58,243,196,190,81,0
92,0,0,0,0,0,0,0,0,0,65,138,206,100,12,196,0
93,0,0,0,0,0,0,0,0,0,201,216,118,64,16,68,0
94,0,0,0,0,0,0,0,0,0,64,200,72,153,169,185,0
95,0,0,0,0,0,0,0,0,0,145,228,175,16,28,17,0
96,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
97,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
98,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
99,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
100,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
101,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
102,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
103,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
104,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
105,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
106,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
107,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
108,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
109,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
110,0,0,0,0,0,0,0,0,0,164,236,56,196,168,144,0
111,0,0,0.25,0,0,0,13,39,6,164,236,56,196,168,144,0
112,0,0,0.25,0,0,0,13,39.5,4.5,164,6,234,97,199,81,0
113,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
114,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
115,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
116,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
117,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
118,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
119,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
120,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
121,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
122,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
123,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
124,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
125,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
126,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
127,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
128,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
129,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
130,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
131,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
132,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
133,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
134,0,0,0,0,0,0,0,0,0,164,6,234,97,199,81,0
135,0,0,16129,0,0,0,3302,10033,1143,164,6,234,97,199,81,0
136,0,0,16129,0,0,0,3048,9779,889,64,56,168,41,27,49,0
137,0,0,0,0,0,0,0,0,0,64,56,168,41,27,49,0
138,0,0,0,0,0,0,0,0,0,64,56,168,41,27,49,0
139,0,0,0,0,0,0,0,0,0,64,56,168,41,27,49,0
140,0,0,0,0,0,0,0,0,0,64,56,168,41,27,49,0
141,0,0,0,0,0,0,0,0,0,64,56,168,41,27,49,0
142,0,0,0,0,0,0,0,0,0,64,56,168,41,27,49,0
143,0,0,16129,0,0,0,3048,9779,889,64,56,168,41,27,49,0
144,0,0,16129,0,0,0,2794,9525,635,228,114,110,249,119,25,0
145,0,0,0.25,0,0,0,11,37.5,2.5,228,114,110,249,119,25,0
146,0,0,0.25,0,0,0,11.5,38,3,17,212,138,144,200,36,0
147,1,0.5,0.25,23,76,6,11.5,38,3,17,212,138,144,200,36,0
148,0,0,1,0,0,0,24,77,7,64,56,168,41,27,49,0
149,0,0,0.25,0,0,0,12.5,39,4,113,158,200,196,112,64,0
150,0,0,0,0,0,0,0,0,0,113,158,200,196,112,64,0
151,1,1,1,25,78,8,25,78,8,113,158,200,196,112,64,0
152,0,0,1,0,0,0,27,80,10,217,112,14,0,32,100,0
153,0,0,0,0,0,0,0,0,0,217,112,14,0,32,100,0
154,0,0,0,0,0,0,0,0,0,217,112,14,0,32,100,0
155,0,0,0,0,0,0,0,0,0,217,112,14,0,32,100,0
156,0,0,0,0,0,0,0,0,0,217,112,14,0,32,100,0
157,0,0,0,0,0,0,0,0,0,217,112,14,0,32,100,0
158,0,0,0,0,0,0,0,0,0,217,112,14,0,32,100,0
159,0,0,16256.25,0,0,0,3442.5,10200,1275,217,112,14,0,32,100,0
160,0,0,0,0,0,0,0,0,0,113,183,169,97,63,33,0
161,0,0,1,0,0,0,27,79,17,217,85,203,97,63,33,0
162,0,0,1,0,0,0,28,80,18,16,192,248,0,160,68,0
163,0,0,2.25,0,0,0,46.5,121.5,27,193,207,46,161,178,68,0
164,65025,510,4,8670,21165,4590,68,166,36,132,6,100,233,214,68,0
165,65025,510,4,9435,21420,4080,74,168,32,89,36,80,144,64,0,0
166,65025,127.5,0.25,10710,21675,4080,21,42.5,8,228,242,160,57,80,0,0
167,0,0,0,0,0,0,0,0,0,57,28,90,144,152,196,0
168,65025,382.5,2.25,11730,21420,2805,69,126,16.5,68,24,250,144,156,121,0
169,0,0,12.25,0,0,0,175,301,42,196,204,88,228,8,144,0
170,65025,637.5,6.25,14280,22950,3315,140,225,32.5,64,176,216,164,146,169,0
171,65025,255,1,15045,22950,3060,59,90,12,153,190,196,164,56,144,0
172,65025,637.5,6.25,15810,23205,2805,155,227.5,27.5,4,10,170,89,233,121,0
173,65025,1147.5,20.25,17085,23970,3315,301.5,423,58.5,137,154,103,132,198,169,0
174,64516,1397,30.25,18542,25400,4826,401.5,550,104.5,209,132,107,16,108,105,0
175,64516,127,0.25,19558,26670,5334,38.5,52.5,10.5,41,149,81,17,157,185,0
176,64516,0,0,18288,25908,4064,0,0,0,64,176,128,164,96,0,0
177,64516,1270,25,19812,26924,4826,390,530,95,196,76,202,228,222,105,0
178,64009,1391.5,30.25,21252,28336,6325,462,616,137.5,144,192,52,0,240,113,0
179,63504,1008,16,22680,29232,7308,360,464,116,164,200,50,144,36,73,0
180,63001,753,9,23594,29618,8032,282,354,96,132,84,192,100,192,0,0
181,63001,1255,25,24598,30622,8534,490,610,170,132,180,4,36,52,132,0
182,62500,1500,36,26250,32000,10000,630,768,240,17,128,104,0,0,64,0
183,61504,31248,15876,28024,32736,10664,14238,16632,5418,225,68,251,16,44,57,0
184,4,251,15750.25,212,244,66,13303,15311,4141.5,228,132,170,36,186,65,0
185,4,9,20.25,224,252,76,504,567,171,0,32,160,4,180,164,0
186,9,10.5,12.25,354,393,123,413,458.5,143.5,100,98,230,9,251,145,0
187,4,254,16129,244,264,86,15494,16764,5461,36,232,126,16,44,57,0
188,16,496,15376,472,512,156,14632,15872,4836,100,0,250,0,128,241,0
189,25,625,15625,575,620,165,14375,15500,4125,169,180,211,16,252,65,0
190,36,762,16129,690,726,186,14605,15367,3937,169,91,237,49,167,193,0
191,49,31.5,20.25,805,847,217,517.5,544.5,139.5,169,91,237,49,167,193,0
192,4,11,30.25,252,258,80,693,709.5,220,4,126,176,1,40,64,0
193,1,1.5,2.25,126,131,41,189,196.5,61.5,4,122,46,9,251,145,0
194,1,1.5,2.25,127,132,42,190.5,198,63,1,124,214,16,168,228,0
195,0,0,2.25,0,0,0,193.5,201,66,1,134,44,36,8,144,0
196,0,0,2.25,0,0,0,193.5,202.5,70.5,1,7,175,49,201,161,0
197,1,1,1,129,138,49,129,138,49,1,138,177,100,106,97,0
198,1,1,1,129,139,50,129,139,50,1,11,50,121,38,196,0
199,0,0,15876,0,0,0,16128,17766,6678,0,128,128,169,49,249,0
200,81,1125,15625,1098,1224,432,15250,17000,6000,36,208,224,64,128,0,0
201,100,10,1,1220,1360,480,122,136,48,36,208,224,64,128,0,0
202,81,9,1,1098,1242,450,122,138,50,36,196,212,100,244,196,0
203,81,1147.5,16256.25,1080,1251,450,15300,17722.5,6375,64,40,112,121,38,196,0
204,64,1016,16129,952,1112,400,15113,17653,6350,81,157,62,121,38,196,0
205,49,889,16129,819,959,350,14859,17399,6350,121,157,218,81,194,196,0
206,36,762,16129,684,822,294,14478,17399,6223,196,2,210,81,57,97,0
207,36,12,4,678,816,288,226,272,96,225,8,48,64,128,0,0
208,1,127.5,16256.25,136,134,47,17340,17085,5992.5,64,48,248,36,154,161,0
209,9,366,14884,390,384,123,15860,15616,5002,4,0,210,0,128,145,0
210,16,492,15129,496,488,140,15252,15006,4305,16,24,244,36,174,201,0
211,25,625,15625,595,595,145,14875,14875,3625,81,81,123,81,123,73,0
212,36,759,16002.25,690,708,162,14547.5,14927,3415.5,169,2,33,100,114,217,0
213,25,625,15625,555,590,125,13875,14750,3125,33,42,215,100,134,113,0
214,9,373.5,15500.25,315,342,69,13072.5,14193,2863.5,17,194,111,196,62,17,0
215,1,124.5,15500.25,101,111,24,12574.5,13819.5,2988,217,203,120,33,104,64,0
216,9,370.5,15252.25,279,321,66,11485.5,13214.5,2717,201,223,254,185,50,228,0
217,9,366,14884,264,309,66,10736,12566,2684,64,104,144,113,218,228,0
218,9,366,14884,234,288,60,9516,11712,2440,196,64,24,0,128,144,0
219,9,375,15625,216,276,63,9000,11500,2625,64,224,232,16,140,185,0
220,9,373.5,15500.25,204,267,72,8466,11080.5,2988,16,164,96,241,88,64,0
221,9,369,15129,189,252,75,7749,10332,3075,129,172,39,144,52,113,0
222,4,245,15006.25,114,156,44,6982.5,9555,2695,177,94,230,196,180,228,0
223,4,247,15252.25,100,146,38,6175,9015.5,2346.5,196,66,182,209,107,105,0
224,4,248,15376,80,150,14,4960,9300,868,64,184,24,249,13,49,0
225,16,496,15376,140,280,8,4340,8680,248,201,146,70,36,140,4,0
226,4,250,15625,62,132,4,3875,8250,250,193,254,62,4,132,4,0
227,4,253,16002.25,58,126,6,3668.5,7969.5,379.5,73,35,87,129,189,9,0
228,4,1,0.25,58,124,14,14.5,31,3.5,73,6,203,4,178,49,0
229,1,126.5,16002.25,31,61,11,3921.5,7716.5,1391.5,193,99,85,137,159,121,0
230,9,376.5,15750.25,84,171,27,3514,7153.5,1129.5,16,60,252,177,1,81,0
231,1,125.5,15750.25,27,54,11,3388.5,6777,1380.5,217,178,41,100,82,121,0
232,1,125.5,15750.25,23,50,7,2886.5,6275,878.5,17,126,161,196,94,49,0
233,1,127,16129,22,49,8,2794,6223,1016,228,54,176,97,136,64,0
234,0,0,0.25,0,0,0,11.5,24,3,17,80,138,0,32,36,0
235,64516,254,1,6096,12700,1270,24,50,5,64,176,120,196,250,25,0
236,0,0,1,0,0,0,25,51,4,113,251,100,41,204,16,0
237,64516,762,9,6858,13462,1270,81,159,15,217,151,135,249,9,25,0
238,63504,630,6.25,8064,14112,2016,80,140,20,0,0,0,64,192,64,0
239,63504,32004,16129,8316,14364,1764,4191,7239,889,65,89,231,177,143,49,0
240,64009,32257.5,16256.25,5060,14421,4048,2550,7267.5,2040,144,116,64,177,144,0,0
241,64516,635,6.25,5588,14986,4064,55,147.5,40,228,18,96,153,176,0,0
242,64009,759,9,6325,15939,4048,75,189,48,113,39,144,129,240,0,0
243,64516,381,2.25,6858,17018,3810,40.5,100.5,22.5,217,17,149,137,237,225,0
244,0,0,0,0,0,0,0,0,0,217,44,68,16,48,144,0
245,65025,32257.5,16002.25,6885,17595,1530,3415.5,8728.5,759,217,71,162,153,158,36,0
246,4,253,16002.25,46,136,2,2909.5,8602,126.5,17,28,23,16,68,1,0
247,0,0,20.25,0,0,0,94.5,306,0,185,148,0,16,0,0,0
248,65025,1020,16,7905,19890,2040,124,312,32,193,114,248,196,112,64,0
249,0,0,0,0,0,0,0,0,0,16,136,196,196,34,49,0
250,0,0,0.25,0,0,0,14,39,4.5,16,136,252,196,190,81,0
251,65025,32512.5,16256.25,6885,19890,3060,3442.5,9945,1530,217,58,68,196,168,144,0
252,0,0,16129,0,0,0,3302,9652,1905,164,184,134,144,116,225,0
253,1,0,0,26,75,19,0,0,0,164,158,238,249,145,105,0
254,0,0,0.25,0,0,0,12.5,38,10,113,108,244,144,240,144,0
255,0,0,0.25,0,0,0,12.5,37.5,11,113,83,38,249,114,228,0
256,0,0,0,0,0,0,0,0,0,217,58,41,196,90,121,0
257,1,127.5,16256.25,27,78,9,3442.5,9945,1147.5,217,58,243,196,190,81,0
258,0,0,0,0,0,0,0,0,0,217,58,243,196,190,81,0
259,0,0,0.25,0,0,0,13,39.5,3.5,164,6,182,97,41,49,0
260,0,0,0.25,0,0,0,13,40,2.5,164,32,130,0,144,25,0
261,0,0,0,0,0,0,0,0,0,64,152,96,161,68,16,0
262,0,0,16256.25,0,0,0,3315,10200,510,164,32,104,0,64,16,0
263,1,127.5,16256.25,27,79,4,3442.5,10072.5,510,217,85,108,97,60,16,0
264,0,0,2.25,0,0,0,42,117,7.5,16,136,140,196,134,25,0
265,0,0,12.25,0,0,0,119,276.5,42,132,126,152,97,180,144,0
266,65025,892.5,12.25,10455,20655,4845,143.5,283.5,66.5,145,249,11,161,3,105,0
267,0,0,6.25,0,0,0,120,202.5,65,0,48,224,161,58,164,0
268,1,1.5,2.25,54,80,32,81,120,48,100,224,192,0,0,0,0
269,65025,0,0,14790,20145,9180,0,0,0,36,230,40,97,28,16,0
270,1,127,16129,60,76,37,7620,9652,4699,16,208,172,144,252,89,0
271,0,0,9,0,0,0,177,225,114,153,73,194,249,34,164,0
272,0,0,2.25,0,0,0,87,130.5,49.5,36,182,122,145,55,65,0
273,0,0,15500.25,0,0,0,6847.5,10333.5,3984,209,213,224,233,96,0,0
274,0,0,15750.25,0,0,0,6526,10040,3639.5,144,64,228,0,16,73,0
275,0,0,15750.25,0,0,0,6400.5,9663.5,3639.5,41,87,199,41,185,73,0
276,1,124.5,15500.25,50,73,27,6225,9088.5,3361.5,196,66,70,209,179,217,0
277,0,0,14884,0,0,0,5612,8174,3172,68,10,172,137,206,164,0
278,0,0,14520.25,0,0,0,4820,6989,2410,64,16,32,36,136,144,0
279,0,0,15252.25,0,0,0,4322.5,6175,2099.5,201,214,83,196,82,33,0
280,0,0,15625,0,0,0,4250,5875,2375,132,62,134,161,125,105,0
281,0,0,15129,0,0,0,3813,5043,1968,193,247,240,145,144,0,0
282,0,0,15006.25,0,0,0,3185,4165,1592.5,164,116,82,132,186,169,0
283,0,0,15750.25,0,0,0,3012,3514,1380.5,64,160,8,16,52,121,0
284,0,0,0.25,0,0,0,12.5,13.5,6.5,113,163,69,217,95,169,0
285,0,0,16256.25,0,0,0,3315,3570,1912.5,164,216,134,16,164,225,0
286,0,0,15876,0,0,0,3150,3150,1890,113,113,119,113,119,225,0
287,0,0,16129,0,0,0,2921,2921,1651,17,17,43,17,43,169,0
288,0,0,2.25,0,0,0,22.5,42,12,225,164,120,16,224,64,0
289,0,0,9,0,0,0,51,90,36,33,254,204,132,104,144,0
290,0,0,1,0,0,0,20,33,15,144,148,44,65,239,225,0
291,0,0,0,0,0,0,0,0,0,105,115,48,65,16,0,0
292,65025,255,1,4335,8670,4590,17,34,18,33,66,50,132,100,68,0
293,65025,892.5,12.25,4590,9180,5100,63,126,70,68,136,104,16,208,144,0
294,65025,1275,25,5355,10710,6885,105,210,135,185,114,55,228,110,217,0
295,65025,1402.5,30.25,6120,11985,7395,132,258.5,159.5,64,104,184,161,83,73,0
296,65025,510,4,7650,14025,8670,60,110,68,132,114,252,209,78,132,0
297,0,0,16129,0,0,0,3302,6858,3683,164,124,242,100,30,73,0
298,0,0,6.25,0,0,0,62.5,140,62.5,113,120,113,64,120,113,0
299,0,0,30.25,0,0,0,154,341,148.5,16,200,244,4,138,217,0
300,65025,1020,16,8415,17850,6885,132,280,108,65,6,123,36,98,217,0
301,65025,32130,15876,8670,18360,6375,4284,9072,3150,132,144,82,64,8,113,0
302,0,0,15129,0,0,0,3444,8364,2214,16,112,248,16,200,68,0
303,0,0,15006.25,0,0,0,2817.5,7717.5,1347.5,17,169,253,129,181,121,0
304,36,729,14762.25,198,294,72,4009.5,5953.5,1458,65,81,140,97,76,144,0
305,49,854,14884,182,294,35,3172,5124,610,164,68,130,228,210,25,0
306,64,1012,16002.25,160,288,0,2530,4554,0,144,208,0,16,0,0,0
307,64,44,30.25,176,312,24,121,214.5,16.5,228,90,66,241,117,9,0
308,25,37.5,56.25,155,240,60,232.5,360,90,193,208,116,0,64,144,0
309,4,3,2.25,68,108,38,51,81,28.5,132,44,134,100,2,105,0
310,65025,31365,15129,7650,13260,4080,3690,6396,1968,132,24,224,144,64,0,0
311,64516,31623,15500.25,5588,11684,3048,2739,5727,1494,228,244,8,68,40,144,0
312,0,0,0,0,0,0,0,0,0,144,152,220,68,250,121,0
313,0,0,0,0,0,0,0,0,0,105,106,247,68,86,169,0
314,0,0,16256.25,0,0,0,2167.5,5992.5,1657.5,33,31,221,161,99,169,0
315,0,0,0,0,0,0,0,0,0,33,14,255,68,178,225,0
316,0,0,0.25,0,0,0,8,23.5,7.5,0,240,240,161,193,225,0
317,0,0,16256.25,0,0,0,1785,6120,1912.5,196,160,210,0,208,225,0
318,0,0,16256.25,0,0,0,1785,5992.5,2040,196,146,224,161,240,0,0
319,0,0,2.25,0,0,0,21,70.5,24,196,146,224,161,240,0,0
320,1,0.5,0.25,14,54,4,7,27,2,196,244,56,100,216,16,0
321,1,126,15876,12,52,2,1512,6552,252,144,112,24,144,104,4,0
322,1,0,0,11,49,2,0,0,0,121,27,22,97,98,4,0
323,1,2,4,13,51,4,26,102,8,169,151,52,41,204,16,0
324,0,0,0,0,0,0,0,0,0,0,64,128,144,160,64,0
325,1,125.5,15750.25,15,50,8,1882.5,6275,1004,225,238,120,196,144,64,0
326,1,124.5,15500.25,14,46,5,1743,5727,622.5,196,132,70,68,230,25,0
327,1,127,16129,11,41,3,1397,5207,381,121,195,33,145,123,9,0
328,1,1.5,2.25,15,42,7,22.5,63,10.5,225,118,105,228,38,49,0
329,0,0,1,0,0,0,17,42,10,33,202,170,228,164,100,0
330,65025,127.5,0.25,4845,10710,3315,9.5,21,6.5,105,30,247,228,34,169,0
331,65025,32512.5,16256.25,5355,10455,3570,2677.5,5227.5,1785,185,93,38,145,62,196,0
332,0,0,16129,0,0,0,2540,5080,1651,144,32,4,64,8,169,0
333,65025,32257.5,16002.25,5100,9690,3570,2530,4807,1771,144,248,24,164,20,196,0
334,1,127,16129,18,36,12,2286,4572,1524,68,136,216,16,176,144,0
335,0,0,6.25,0,0,0,42.5,87.5,32.5,33,83,221,201,199,169,0
336,64516,508,4,7112,9398,5080,56,74,40,16,12,48,89,228,144,0
337,64009,31878,15876,6831,9108,4301,3402,4536,2142,217,204,203,16,100,33,0
338,65025,32130,15876,5610,8670,3570,2772,4284,1764,228,236,52,132,220,196,0
339,64516,32258,16129,5334,8382,3302,2667,4191,1651,185,181,17,65,173,169,0
340,0,0,0.25,0,0,0,9.5,17,5.5,105,134,209,132,118,121,0
341,1,3,9,19,37,13,57,111,39,105,191,247,89,225,169,0
342,65025,765,9,5355,10455,4080,63,123,48,185,93,80,145,144,0,0
343,0,0,2.25,0,0,0,30,67.5,24,144,132,64,233,208,0,0
344,0,0,9,0,0,0,60,141,48,144,172,64,161,240,0,0
345,0,0,20.25,0,0,0,99,238.5,94.5,228,142,206,249,89,185,0
346,65025,510,4,6375,15045,6120,50,118,48,113,195,88,153,136,64,0
347,65025,32130,15876,5865,15045,5865,2898,7434,2898,17,77,17,153,77,17,0
348,0,0,15625,0,0,0,2250,7000,2375,68,240,86,64,40,105,0
349,0,0,16256.25,0,0,0,1785,7012.5,1912.5,196,2,210,209,57,225,0
350,1,2,4,15,57,17,30,114,34,225,87,255,177,201,33,0
351,1,0.5,0.25,18,60,20,9,30,10,68,56,104,16,176,144,0
