,Ixx,Ixy,Iyy,Ixr,Ixg,Ixb,Iyr,Iyg,Iyb,Irr,Irg,Irb,Igg,Igb,Ibb,Target
76,4,20,100,68,78,66,340,390,330,132,46,98,241,7,65,0
77,4,255,16256.25,72,82,74,4590,5227.5,4717.5,16,196,52,145,237,89,0
78,1,4,16,32,38,34,128,152,136,0,192,64,164,12,132,0
79,1,10.5,110.25,44,50,46,462,525,483,144,152,232,196,252,68,0
80,36,63,110.25,294,354,366,514.5,619.5,640.5,97,75,173,153,15,137,0
81,61009,2964,144,15067,17537,18031,732,852,876,137,235,101,177,63,209,0
82,60025,2940,144,17885,20335,20825,876,996,1020,209,171,61,233,143,57,1
83,25,72.5,210.25,425,475,485,1232.5,1377.5,1406.5,57,139,53,65,255,193,1
84,256,240,225,1632,1792,1824,1530,1680,1710,164,160,108,0,224,196,1
85,121,33,9,1265,1375,1397,345,375,381,169,39,13,9,3,1,1
86,36,696,13456,648,708,720,12528,13688,13920,144,200,160,100,80,64,0
87,81,1003.5,12432.25,819,909,927,10146.5,11261.5,11484.5,89,231,157,217,163,113,0
88,144,1428,14161,900,1020,1044,8925,10115,10353,249,231,125,57,227,145,0
89,36,66,121,438,498,510,803,913,935,209,171,61,233,143,57,0
90,65025,5737.5,506.25,24735,27285,27795,2182.5,2407.5,2452.5,193,139,77,185,143,105,0
91,63001,1631.5,42.25,29618,32128,32630,767,832,845,100,0,236,0,0,4,0
92,64516,29591,13572.25,27940,30480,30988,12815,13980,14213,68,144,108,64,48,36,0
93,36,666,12321,570,630,642,10545,11655,11877,65,247,181,17,227,185,0
94,144,1260,11025,912,1032,1056,7980,9030,9240,144,136,32,228,144,64,0
95,144,1392,13456,588,708,732,5684,6844,7076,97,75,173,153,15,137,1
96,64009,4048,256,14421,15433,15180,912,976,960,177,149,92,137,76,16,1
97,61009,8768.5,1260.25,21242,22230,21983,3053,3195,3159.5,228,60,230,164,74,241,1
98,60516,7011,812.25,31488,32472,32226,3648,3762,3733.5,0,0,128,16,140,9,1
99,63504,756,9,36036,37044,36792,429,441,438,225,29,142,105,214,68,0
100,16,490,15006.25,536,552,548,16415,16905,16782.5,36,60,182,100,218,81,0
101,64,932,13572.25,1056,1088,1080,15378,15844,15727.5,16,32,156,64,184,49,0
102,81,859.5,9120.25,999,1035,1026,10600.5,10982.5,10887,33,221,110,169,54,196,0
103,64,768,9216,536,568,560,6432,6816,6720,137,149,82,177,106,36,0
104,49,885.5,16002.25,329,357,350,5945.5,6451.5,6325,161,93,46,41,246,196,0
105,1,12.5,156.25,64,68,67,800,850,837.5,0,0,192,16,204,137,0
106,63504,504,4,18144,19152,18900,144,152,150,64,96,24,144,68,249,0
107,64009,126.5,0.25,17204,18216,17963,34,36,35.5,16,32,220,64,248,177,0
108,4,15,56.25,146,154,152,547.5,577.5,570,209,245,172,41,220,144,1
109,25,0,0,415,435,430,0,0,0,233,53,226,145,58,228,1
110,25,557.5,12432.25,365,385,380,8139.5,8585.5,8474,209,245,172,41,220,144,1
111,36,696,13456,300,324,318,5800,6264,6148,196,140,90,100,46,249,1
112,100,1275,16256.25,480,530,490,6120,6757.5,6247.5,0,240,48,249,37,97,1
113,169,1638,15876,624,689,637,6048,6678,6174,0,240,48,249,37,97,0
114,196,1750,15625,616,686,630,5500,6125,5625,144,108,188,97,157,233,0
115,49,17.5,6.25,294,329,301,105,117.5,107.5,228,182,14,161,229,57,0
116,4,13,42.25,100,108,106,325,351,344.5,196,140,90,100,46,249,0
117,36,762,16129,336,360,354,7112,7620,7493,64,32,232,16,212,153,0
118,400,2340,13689,960,1040,1020,5616,6084,5967,0,192,144,144,92,41,0
119,1089,3993,14641,1122,1254,1287,4114,4598,4719,132,12,46,164,202,241,0
120,676,156,36,884,988,1014,204,228,234,132,12,46,164,202,241,0
121,121,115.5,110.25,506,550,561,483,525,535.5,68,252,42,196,246,41,1
122,64009,759,9,13662,14674,15433,162,174,183,100,60,222,36,210,137,1
123,63504,30996,15129,12852,13860,14616,6273,6765,7134,41,245,142,209,118,36,1
124,16,496,15376,176,192,204,5456,5952,6324,144,64,196,0,144,41,1
125,81,13.5,2.25,396,423,468,66,70.5,78,144,20,240,161,140,144,1
126,64,32,16,384,408,448,192,204,224,0,144,128,41,40,64,0
127,9,3,1,156,165,180,52,55,60,144,44,48,209,228,16,0
128,16,496,15376,180,228,188,5580,7068,5828,233,5,67,177,119,161,0
129,4,0,0,78,102,82,0,0,0,241,197,63,41,43,145,0
130,64516,508,4,11430,14478,11938,90,114,94,233,5,67,177,119,161,0
131,63504,30744,14884,10836,13860,11340,5246,6710,5490,57,61,143,209,171,233,0
132,63504,32004,16129,8316,11340,8820,4191,5715,4445,65,205,131,233,39,201,0
133,1,6,36,41,53,43,246,318,258,145,125,227,249,231,57,0
134,64,968,14641,360,456,376,5445,6897,5687,233,5,67,177,119,161,1
135,144,1518,16002.25,324,468,348,3415.5,4933.5,3668.5,217,29,15,241,107,73,1
136,65025,5865,529,10710,13770,11220,966,1242,1012,228,220,56,100,72,144,1
137,65025,4462.5,306.25,18615,21675,19125,1277.5,1487.5,1312.5,209,61,99,57,231,249,1
138,9,0,0,231,267,237,0,0,0,41,197,195,241,119,97,1
139,36,51,72.25,438,510,450,620.5,722.5,637.5,209,61,99,57,231,249,1
140,49,140,400,658,742,672,1880,2120,1920,132,236,64,228,192,0,0
141,4,18,81,226,250,230,1017,1125,1035,225,45,195,9,39,169,0
142,63504,32004,16129,28224,31248,28728,14224,15748,14478,0,64,224,16,56,196,0
143,62001,31747.5,16256.25,27639,30627,28137,14152.5,15682.5,14407.5,33,85,255,25,75,225,0
144,62500,0,0,27750,31250,27000,0,0,0,33,51,212,9,188,144,0
145,64009,30866,14884,27830,31372,27577,13420,15128,13298,68,72,214,16,204,105,0
146,16,448,12544,396,444,396,11088,12432,11088,73,237,73,33,237,73,0
147,64,900,12656.25,632,728,648,8887.5,10237.5,9112.5,97,21,255,89,203,161,1
148,81,1143,16129,621,720,648,8763,10160,9144,153,144,104,0,128,64,1
149,36,66,121,474,528,498,869,968,913,97,40,157,64,136,233,1
150,1,10.5,110.25,92,101,96,966,1060.5,1008,16,76,128,217,224,0,1
151,64009,759,9,25806,27324,26312,306,324,312,164,8,112,144,224,64,1
152,169,136.5,110.25,1300,1378,1326,1050,1113,1071,16,104,216,228,60,164,1
153,121,104.5,90.25,1364,1419,1353,1178,1225.5,1168.5,16,124,148,1,251,25,1
154,81,1035,13225,1089,1116,1035,13915,14260,13225,49,156,91,16,180,169,0
155,36,684,12996,594,618,534,11286,11742,10146,73,213,107,113,207,241,0
156,25,620,15376,470,490,405,11656,12152,10044,132,252,190,132,2,161,0
157,1,2.5,6.25,93,96,77,232.5,240,192.5,201,224,249,0,224,41,0
158,65025,3570,196,25245,26265,20400,1386,1442,1120,73,213,240,113,48,0,0
159,64516,3810,225,30480,31496,25654,1800,1860,1515,64,32,88,16,236,217,0
160,64009,2530,100,33396,32637,31372,1320,1290,1240,16,132,240,1,124,16,1
161,65025,29835,13689,36465,35700,34425,16731,16380,15795,225,52,105,144,212,49,1
162,4,208,10816,222,214,208,11544,11128,10816,33,101,24,185,120,64,1
163,1,118,13924,94,93,89,11092,10974,10502,132,38,174,201,85,241,1
164,64516,32004,15876,22606,22352,21336,11214,11088,10584,241,152,52,64,224,144,1
165,65025,1785,49,22695,22695,22185,623,623,609,241,241,63,241,63,145,1
166,4,243,14762.25,204,204,200,12393,12393,12150,164,164,216,164,216,16,1
167,64,876,11990.25,592,608,600,8103,8322,8212.5,100,248,174,144,68,249,1
168,9,379.5,16002.25,189,195,192,7969.5,8222.5,8096,129,255,192,129,64,0,0
169,1,9.5,90.25,70,74,75,665,703,712.5,36,60,130,100,174,249,0
170,0,0,30.25,0,0,0,445.5,467.5,473,161,229,54,57,142,228,0
171,4,247,15252.25,160,170,176,9880,10497.5,10868,0,144,128,57,56,64,0
172,16,500,15625,284,304,316,8875,9500,9875,177,20,233,144,116,97,0
173,4,33,272.25,148,158,164,1221,1303.5,1353,100,214,180,97,78,68,1
174,64009,8096,1024,25806,27830,28589,3264,3520,3616,164,212,6,68,142,225,1
175,61504,2480,100,33728,35712,36456,1360,1440,1470,64,128,24,0,176,105,1
176,0,0,14400,0,0,0,15240,15120,16080,1,130,122,4,244,36,1
177,65025,0,0,31875,31620,33660,0,0,0,9,140,116,16,240,16,1
178,64516,1016,16,32258,32004,34036,508,504,536,1,130,122,4,244,36,1
179,64009,506,4,33649,33396,35420,266,264,280,25,148,188,16,48,144,1
180,1,120.5,14520.25,131,130,138,15785.5,15665,16629,9,134,158,4,20,100,1
181,16,452,12769,472,468,500,13334,13221,14125,100,238,158,121,33,9,0
182,4,228,12996,202,200,216,11514,11400,12312,217,116,156,16,48,144,0
183,65025,30982.5,14762.25,22950,22695,24735,10935,10813.5,11785.5,164,74,26,241,185,193,0
184,0,0,1,0,0,0,88,87,95,64,232,168,145,73,65,0
185,25,72.5,210.25,460,455,495,1334,1319.5,1435.5,16,180,148,89,49,73,0
186,1,28,784,117,116,124,3276,3248,3472,121,4,172,144,48,16,1
187,61504,3968,256,36704,36456,38440,2368,2352,2480,144,252,156,105,1,217,1
188,62001,28510.5,13110.25,37101,36852,38844,17060.5,16946,17862,185,36,204,144,48,16,1
189,36,630,11025,726,720,768,12705,12600,13440,49,184,128,64,0,0,1
190,100,1200,14400,1030,1020,1100,12360,12240,13200,113,10,66,164,212,68,1
191,16,4,1,420,416,448,105,104,112,17,168,240,64,128,0,1
192,25,7.5,2.25,540,520,515,162,156,154.5,144,224,116,64,216,113,1
193,4,254,16129,222,214,212,14097,13589,13462,33,101,246,185,78,228,1
194,36,717,14280.25,636,612,606,12667,12189,12069.5,228,60,210,164,62,217,0
195,225,1830,14884,1395,1365,1380,11346,11102,11224,201,15,108,89,180,16,0
196,100,65,42.25,930,910,920,604.5,591.5,598,201,15,108,89,180,16,0
197,0,0,121,0,0,0,1144,1144,1166,64,64,16,64,16,228,0
198,65025,1275,25,28815,28815,29325,565,565,575,225,225,195,225,195,169,0
199,25,637.5,16256.25,565,570,590,14407.5,14535,15045,225,82,22,196,140,100,1
200,4,247,15252.25,222,224,232,13708.5,13832,14326,33,144,76,0,192,144,1
201,65025,31875,15625,26265,27030,28305,12875,13250,13875,113,166,169,228,246,33,1
202,64516,31369,15252.25,26416,27178,28448,12844,13214.5,13832,64,120,128,185,208,0,1
203,16,458,13110.25,368,388,412,10534,11106.5,11793.5,16,220,4,193,7,113,1
204,225,1875,15625,1125,1200,1290,9375,10000,10750,249,112,50,0,224,228,1
205,256,152,90.25,1376,1456,1552,817,864.5,921.5,228,146,150,89,123,193,1
206,121,1369.5,15500.25,1023,1100,1188,11578.5,12450,13446,201,84,60,16,48,144,1
207,25,607.5,14762.25,390,425,465,9477,10327.5,11299.5,196,230,86,57,225,201,1
208,64,60,56.25,624,696,768,585,652.5,720,196,130,64,145,160,0,0
209,64,76,90.25,728,800,856,864.5,950,1016.5,89,140,9,16,204,185,0
210,81,1125,15625,891,954,1008,12375,13250,14000,73,254,80,228,96,0,0
211,36,672,12544,522,570,582,9744,10640,10864,145,73,247,65,255,193,0
212,1,112,12544,67,76,73,7504,8512,8176,137,228,27,144,172,209,1
213,0,0,14520.25,0,0,0,6748,7591.5,6748,64,200,64,129,200,64,1
214,25,0,0,270,305,265,0,0,0,100,222,46,137,161,249,1
215,100,90,81,570,630,530,513,567,477,177,7,205,129,11,249,1
216,1,123,15129,73,79,67,8979,9717,8241,209,135,27,97,173,137,1
217,36,678,12769,300,318,252,5650,5989,4746,196,90,52,249,178,228,1
218,49,889,16129,308,329,266,5588,5969,4826,144,20,136,161,250,164,1
219,65025,32385,16129,12240,12495,10965,6096,6223,5461,0,48,16,97,59,57,1
220,62500,500,4,10750,11000,9750,86,88,78,57,100,141,144,180,241,1
221,64009,2150.5,72.25,13409,13156,12650,450.5,442,425,249,196,90,144,40,196,0
222,81,0,0,558,540,549,0,0,0,4,136,198,16,76,137,0
223,256,1928,14520.25,864,832,848,6507,6266,6386.5,100,248,46,144,196,249,0
224,64,992,15376,328,400,264,5084,6200,4092,145,2,73,196,114,65,0
225,9,376.5,15750.25,120,147,96,5020,6149.5,4016,64,168,0,97,32,0,1
226,65025,31365,15129,9180,11475,7140,4428,5535,3444,16,84,240,233,236,16,1
227,64516,31115,15006.25,7874,9652,5588,3797.5,4655,2695,193,154,170,164,68,228,1
228,1,124.5,15500.25,26,33,17,3237,4108.5,2116.5,164,90,186,65,49,33,1
229,36,9,2.25,150,192,84,37.5,48,21,113,32,94,0,192,196,1
230,36,27,20.25,192,216,114,144,162,85.5,0,128,96,16,172,105,1
231,36,765,16256.25,216,240,138,4590,5100,2932.5,16,160,60,64,152,17,1
232,4,246,15129,60,70,30,3690,4305,1845,132,26,194,201,13,225,1
233,65025,31875,15625,6885,7650,2805,3375,3750,1375,217,42,41,132,74,121,1
234,63001,0,0,6526,7279,2510,0,0,0,164,242,4,73,34,100,0
235,63504,31878,16002.25,6804,7560,2268,3415.5,3795,1138.5,217,42,243,132,14,81,0
236,64516,30988,14884,5842,6350,1016,2806,3050,488,17,63,92,113,100,16,0
237,4,249,15500.25,30,34,0,1867.5,2116.5,0,225,255,0,33,0,0,0
238,1,4.5,20.25,16,18,0,72,81,0,0,32,0,68,0,0,1
239,65025,382.5,2.25,6120,6630,1275,36,39,7.5,64,112,120,164,130,25,1
240,64009,31625,15625,4301,5060,2783,2125,2500,1375,33,84,187,144,220,121,1
241,65025,32512.5,16256.25,4080,4845,2550,2040,2422.5,1275,0,48,160,105,190,100,1
242,0,0,16256.25,0,0,0,2040,2422.5,1530,0,48,192,105,228,144,1
243,4,254,16129,30,36,22,1905,2286,1397,225,14,165,68,198,121,1
244,4,254,16129,28,34,20,1778,2159,1270,196,238,140,33,170,100,1
245,1,127,16129,14,16,11,1778,2032,1397,196,224,154,0,176,121,1
246,1,0,0,13,15,10,0,0,0,169,195,130,225,150,100,1
247,0,0,0.25,0,0,0,6.5,7.5,6,169,195,156,225,180,144,0
248,0,0,0,0,0,0,0,0,0,169,195,156,225,180,144,0
249,0,0,16256.25,0,0,0,1657.5,1912.5,1785,169,195,182,225,210,196,0
250,0,0,16129,0,0,0,1524,1778,1651,144,168,156,196,182,169,0
251,0,0,16129,0,0,0,1524,1651,1905,144,156,180,169,195,225,1
252,0,0,0,0,0,0,0,0,0,121,132,154,144,168,196,1
253,65025,0,0,2805,3060,4080,0,0,0,121,132,176,144,192,0,1
254,0,0,16256.25,0,0,0,1275,1402.5,1912.5,100,110,150,121,165,225,1
255,0,0,1,0,0,0,10,11,15,100,110,150,121,165,225,1
256,0,0,16256.25,0,0,0,1530,1912.5,1020,144,180,96,225,120,64,1
257,65025,382.5,2.25,2295,3060,1275,13.5,18,7.5,81,108,45,144,60,25,1
258,64516,2413,90.25,3810,4572,2794,142.5,171,104.5,225,14,165,68,198,121,1
259,64009,2150.5,72.25,7337,7590,6072,246.5,255,204,73,102,184,132,208,64,1
260,64516,32385,16256.25,8636,8890,6858,4335,4462.5,3442.5,132,166,150,201,177,217,0
261,65025,30982.5,14762.25,7395,7395,5355,3523.5,3523.5,2551.5,73,73,97,73,97,185,0
262,4,248,15376,44,44,24,2728,2728,1488,228,228,8,228,8,144,0
263,9,13.5,20.25,72,63,36,108,94.5,54,64,248,32,185,252,144,0
264,0,0,12.25,0,0,0,112,105,63,0,192,64,132,28,68,1
265,0,0,15876,0,0,0,4032,3528,2142,0,128,32,16,220,33,1
266,0,0,16129,0,0,0,3810,3302,1778,132,12,164,164,108,196,1
267,0,0,0,0,0,0,0,0,0,193,7,147,113,69,169,1
268,0,0,0,0,0,0,0,0,0,193,7,85,113,19,121,1
269,1,0,0,31,25,11,0,0,0,193,7,85,113,19,121,1
270,1,0.5,0.25,33,25,12,16.5,12.5,6,65,57,140,113,44,144,1
271,1,0,0,34,26,13,0,0,0,132,116,186,164,82,169,1
272,9,376.5,15750.25,93,75,39,3890.5,3137.5,1631.5,193,7,147,113,69,169,1
273,16,500,15625,108,84,36,3375,2625,1125,217,55,243,185,189,81,0
274,16,6,2.25,100,76,28,37.5,28.5,10.5,113,219,175,105,133,49,0
275,4,13,42.25,60,48,24,195,156,78,132,208,104,64,32,144,0
276,1,7.5,56.25,38,32,20,285,240,150,164,192,248,0,128,144,0
277,65025,892.5,12.25,11475,9945,6885,157.5,136.5,94.5,233,219,191,241,29,217,1
278,65025,32385,16129,11475,9945,6885,5715,4953,3429,233,219,191,241,29,217,1
279,0,0,16002.25,0,0,0,5439.5,4680.5,3162.5,57,55,51,89,157,113,1
280,4,255,16256.25,84,72,48,5355,4590,3060,228,232,240,16,96,64,1
281,4,1,0.25,84,72,48,21,18,12,228,232,240,16,96,64,1
282,4,1,0.25,86,74,50,21.5,18.5,12.5,57,55,51,89,157,113,1
283,4,255,16256.25,86,74,50,5482.5,4717.5,3187.5,57,55,51,89,157,113,1
284,4,254,16129,84,72,48,5334,4572,3048,228,232,240,16,96,64,1
285,4,253,16002.25,82,70,46,5186.5,4427.5,2909.5,145,155,175,201,37,17,1
286,4,253,16002.25,78,66,42,4933.5,4174.5,2656.5,241,7,51,65,181,185,0
287,4,255,16256.25,76,64,40,4845,4080,2550,164,192,248,0,128,144,0
288,16,508,16129,140,136,56,4445,4318,1778,201,166,234,132,220,196,0
289,9,379.5,16002.25,99,96,36,4174.5,4048,1518,65,32,140,0,128,144,0
290,9,0,0,96,93,33,0,0,0,0,224,96,193,85,121,1
291,9,6,4,99,96,36,66,64,24,65,32,140,0,128,144,1
292,1,1,1,36,35,17,36,35,17,16,236,100,201,83,33,1
293,1,125,15625,35,34,16,4375,4250,2000,201,166,48,132,32,0,1
294,4,248,15376,62,58,28,3844,3596,1736,193,131,178,73,150,196,1
295,1,126.5,16002.25,28,26,11,3542,3289,1391.5,16,216,52,164,30,121,1
296,25,637.5,16256.25,135,125,60,3442.5,3187.5,1530,217,163,68,113,44,144,1
297,25,632.5,16002.25,130,120,55,3289,3036,1391.5,164,112,30,64,8,121,1
298,25,632.5,16002.25,120,110,50,3036,2783,1265,64,16,240,228,220,100,1
299,25,635,16129,115,105,45,2921,2667,1143,17,227,207,185,189,81,0
300,16,510,16256.25,92,80,44,2932.5,2550,1402.5,17,204,253,144,220,121,0
301,25,2.5,0.25,115,100,55,11.5,10,5.5,17,204,253,144,220,121,0
302,25,5,1,120,105,60,24,21,12,64,248,32,185,252,144,1
303,16,14,12.25,100,88,52,87.5,77,45.5,113,38,69,228,30,169,1
304,64516,1016,16,7620,7112,3810,120,112,60,132,72,194,16,164,225,1
305,65025,255,1,8160,7650,4335,32,30,17,0,192,32,132,254,33,1
306,1,126.5,16002.25,32,30,17,4048,3795,2150.5,0,192,32,132,254,33,1
307,9,375,15625,87,81,42,3625,3375,1750,73,15,150,217,122,196,1
308,9,378,15876,78,72,33,3276,3024,1386,164,112,30,64,8,121,1
309,9,3,1,75,69,30,25,23,10,113,63,250,17,230,100,1
310,4,6,9,56,52,26,84,78,39,16,216,108,164,82,169,1
311,1,4.5,20.25,31,29,16,139.5,130.5,72,193,131,240,73,208,0,1
312,64009,1138.5,20.25,9361,8855,5566,166.5,157.5,99,89,15,46,201,2,228,0
313,0,0,0.25,0,0,0,20,19,12.5,64,240,232,164,182,113,0
314,4,249,15500.25,76,72,46,4731,4482,2863.5,164,88,106,16,60,17,1
315,4,252,15876,66,62,36,4158,3906,2268,65,255,82,193,46,68,1
316,0,0,6.25,0,0,0,85,80,47.5,132,64,134,0,96,105,1
317,1,127.5,16256.25,38,36,23,4845,4590,2932.5,164,88,106,16,60,17,1
318,49,843.5,14520.25,231,217,126,3976.5,3735.5,2169,65,255,82,193,46,68,1
319,121,1358.5,15252.25,253,231,88,2840.5,2593.5,988,17,227,184,185,168,64,1
320,16,8,4,108,84,28,54,42,14,217,55,189,185,147,49,1
321,1,3.5,12.25,30,24,10,105,84,35,132,208,44,64,240,100,1
322,64516,762,9,8636,7112,3556,102,84,42,132,184,220,16,136,196,1
323,64009,0,0,9108,7590,4048,0,0,0,16,56,64,132,224,0,1
324,1,125,15625,34,28,16,4250,3500,2000,132,184,32,16,192,0,1
325,16,496,15376,120,96,48,3720,2976,1488,132,208,104,64,32,144,0
326,16,500,15625,108,80,40,3375,2500,1250,217,28,14,144,200,100,0
327,9,379.5,16002.25,75,54,24,3162.5,2277,1012,113,194,200,68,144,64,1
328,1,2,4,23,16,8,46,32,16,17,112,184,0,128,64,1
329,0,0,20.25,0,0,0,126,94.5,58.5,16,76,108,185,17,169,1
330,64516,254,1,8128,6350,4826,32,25,19,0,32,96,113,219,105,1
331,64516,31496,15376,7620,5842,4318,3720,2852,2108,132,178,254,17,135,33,1
332,65025,31492.5,15252.25,6120,4080,3315,2964,1976,1605.5,64,128,56,0,208,169,1
333,65025,32385,16129,5355,3315,2550,2667,1651,1270,185,17,210,169,130,100,1
334,65025,510,4,5610,3570,2805,44,28,22,228,52,242,196,154,121,1
335,65025,382.5,2.25,6375,4335,3570,37.5,25.5,21,113,169,94,33,238,196,1
336,63504,630,6.25,7308,4536,0,72.5,45,0,73,10,0,68,0,0,1
337,64009,1138.5,20.25,8096,6072,1265,144,108,22.5,0,0,160,64,120,25,1
338,65025,382.5,2.25,9180,7395,2550,54,43.5,15,16,20,104,73,34,100,0
339,0,0,0.25,0,0,0,16,14.5,5,0,160,64,73,34,100,0
